spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	true	-1		2		0.88233143	13	2	35 eV	[M + H]+	194.118	Orbitrap (LCMS)	CC(CC1=CC2=C(C=C1)OCO2)NC	splash10-0a6r-4900000000-9902e8afbb6b491db024	Ecstasy	public_spectra_2506:(MSBNK-Eawag-EQ361306)	SHXWCVYOXRDMCX	192.138	246	4.097	857336432647490352	857336432643296047	3265	
1	SPECTRUM	true	2		2	-1 eV	0.9700879	7	2	8 eV	[M + H]+	195.088	Orbitrap (LCMS)	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	splash10-0002-0900000000-b5a979ae7ba9d458755a	Caffeina	public_spectra_2506:(MSBNK-ACES_SU-AS000088)	RYYVLZVUVIJVGH	195.123	250	4.158	857336432815262520	857336432815262519	3304	
1	SPECTRUM	true	7		2	-1 eV	0.82371974	7	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	224.165	Orbitrap (LCMS)	CCC(C)(C(CO)NC(=O)C(=CC=CC)C)O	splash10-0a6r-8920000000-08ce724cdead84a65b18	CHEBI:182554	public_spectra_2506:(BRUNGS_NIHNP_01517)	PHCDULUANYZTRK	198.185	254	4.240	857336433041754944	857336433037560639	3334	
1	SPECTRUM	true	1		2	-1 eV	0.7713096	6	2	20 eV	[M + H]+	115.123	Q-ToF (LCMS)	C1CCC(C(C1)N)N	splash10-053s-9000000000-7cdce49e5a2bf658ead4	r-dach	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000083)	SSJXIUAHEKJCMH	198.185	265	4.415	857336433721232216	857336433717037911	3450	
1	SPECTRUM	true	64		2	-1 eV	0.37465355	7	2	-1 eV (corrected -1 eV)	[M + Na]+	291.157	Orbitrap (LCMS)	CC1=CC(=O)C2C(CC(CC2(C1(CO)O)C)O)(C)C	splash10-03ei-9830000000-22b87cb6780b634eb257	2?,9?,11-Trihydroxy-6-oxodrim-7-ene	public_spectra_2506	MMMVWBXLRFTTSV	209.138	266	4.438	857336434211965800	857336434207771495	3481	
1	SPECTRUM	true	0		2	-1 eV	0.60242957	7	2	54 eV	[M + H]+	150.091	Orbitrap (LCMS)	CC1=CC(=C(C=C1)NC=O)C	splash10-0a6r-9500000000-beab88d876aa2518a922	2'',4''-Formoxylidide	public_spectra_2506:(MSBNK-Eawag-EQ033009)	JOFDPSBOUCXJCC	133.086	267	4.444	857336434329406316	857336434325212011	3483	
1	SPECTRUM	true	-1		2		0.5413086	6	2	-1 eV (corrected -1 eV)	[M + H3N + H]+	330.191	FTICR (LCMS)	CC1CCC(C=CC(=O)OC(CCC(C=CC(=O)O1)O)C)O	null-null-null-null	Pyrenophorol	public_spectra_2506:(CCMSLIB00004708361)	RBQNDQOKFICJGL	224.186	279	4.643	857336434883054464	857336434883054463	3627	
1	SPECTRUM	true	0		2	-1 eV	0.8313597	11	2	55 eV	[M + H]+	307.263	Orbitrap (LCMS)	CCC=CCC=CCC=CCCCCCCCCCC(=O)O	splash10-0159-9000000000-ef0351d6642d9ee1965e	Icosatrienoic acid	public_spectra_2506:(MSBNK-Eawag-EQ01142706)	AHANXAKGNAKFSK	165.091	280	4.665	857336435164072840	857336435164072839	3644	
1	SPECTRUM	true	131		2	-1 eV	0.72808	30	2	-1 eV (corrected -1 eV)	[M + K]+	449.100	FTICR (LCMS)	CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4(C3=O)O)OC)OC	null-null-null-null	Rotenalone	public_spectra_2506:(CCMSLIB00004695347)	JFVKWCYZKMUTLH	183.102	280	4.668	857336435310873484	857336435310873483	3672	
1	SPECTRUM	true	4		2	-1 eV	0.7945155	7	2	45 eV	[M + H]+	282.279	Orbitrap (LCMS)	CC1CN(CC(O1)C)C2CCCCCCCCCCC2	splash10-00kb-9100000000-e4a08fe976d38bc2ab00	Meltatox	public_spectra_2506:(MSBNK-UFZ-WANA2382237762PH)	JMXKCYUTURMERF	198.185	301	5.022	857336436313312176	857336436309117871	3944	
