id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score
16936,857336467644764940,denovo,"Diethylene glycol, decyl ether",CCCCCCCCCCOCCOCCO,C14H30O3,247.227,14.638,-0.219
17069,857336467909006112,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,335.279,14.723,-0.206
17354,857336468479431500,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,335.279,14.929,-0.206
17356,857336468374573892,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,352.306,14.928,-0.17
17360,857336468429099848,structure_db_match,"3-amino-N-octadecyl-1,2,4-triazole-1-carboxamide",CCCCCCCCCCCCCCCCCCNC(=O)N1C=NC(=N1)N,C21H41N5O,380.337,14.929,0.838
17468,857336468689146716,denovo,"Diethylene glycol, decyl ether",CCCCCCCCCCOCCOCCO,C14H30O3,247.227,15.011,-0.211
17505,857336468974359408,denovo,"O,O-Dibutyl hydrogen thiophosphate",CCCCOP(=S)(O)OCCCC,C8H19O3PS,227.087,15.034,-2.0
17583,857336469230211972,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,335.279,15.082,-0.206
17657,857336469393789840,denovo,"Glycine, N-tridecyl-",CCCCCCCCCCCCCNCC(=O)O,C15H31NO2,258.243,15.131,-0.116
17819,857336469607699360,denovo,Cresyl diphenylphosphate,CC1=CC=CC=C1OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,C19H17O4P,341.094,15.275,-0.501
17985,857336469909689268,spectral_match,Sclareolide,CC1(CCCC2(C1CCC3(C2CC(=O)O3)C)C)C,,251.201,15.391,0.83812726
18013,857336469960020920,structure_db_match,1-Eicosanamine,CCCCCCCCCCCCCCCCCCCCN,C20H43N,298.347,15.412,0.875
18030,857336470069072832,spectral_match,Sicol 160,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,,313.143,15.453,0.9872464
18301,857336470559806424,spectral_match,Sicol 160,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,,313.143,15.597,0.99539363
18367,857336470618526684,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,15.686,-1.152
18470,857336470677246944,structure_db_match,Galaxolidone,CC1COC(=O)C2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,C18H24O2,273.185,15.722,0.892
18603,857336470782104552,spectral_match,Citroflex 4,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,,361.222,15.842,0.915008
19072,857336471092483072,denovo,2-(2-(Undecyloxy)ethoxy)ethanol,CCCCCCCCCCCOCCOCCO,C15H32O3,261.243,16.182,-0.18
19322,857336471532885024,denovo,Laureth-7 carboxylic acid,CCCCCCCCCCCCOCCOCC(=O)O,C16H32O4,289.237,16.321,-1.298
19366,857336471813903412,spectral_match,Spectrum3_000777,CCCCCCCCCCCCCC(CC(COC(=O)C)O)O,,313.274,16.353,0.84096783
19920,857336472157836368,spectral_match,Phosflex 179C,CC1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C)OC3=CC=CC=C3C,,369.125,16.812,0.838882
20414,857336472845702276,spectral_match,Blo-trol,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,,425.215,17.157,0.9634712
20420,857336472950559884,spectral_match,Blo-trol,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,,403.233,17.158,0.9709721
20422,857336472896033928,spectral_match,Citroflex 4,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,,361.222,17.157,0.90630156
20856,857336473214801056,spectral_match,Escaid 100,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,,323.235,17.476,0.95493704
20933,857336473315464360,denovo,monobutyl ester,CCCCOC(=O)C1=CC=CC=C1C(=O)O,C12H14O4,223.097,17.54,-0.904
21258,857336473508402360,denovo,,C=C[SH]=O,C2H4OS,114.961,17.797,-2.482
21504,857336473835558100,spectral_match,Uvinul A Plus,CCCCCCOC(=O)C1=CC=CC=C1C(=O)C2=C(C=C(C=C2)N(CC)CC)O,,398.233,17.996,0.9301528
21832,857336474213045492,spectral_match,phthalate,C1=CC=C(C(=C1)C(=O)O)C(=O)O,,149.023,18.246,0.9357311
21838,857336474263377144,structure_db_match,N-{(4S)-4-amino-5-[(aminomethyl)amino]pentyl}-N''-nitroguanidine,C(CC(CNCN)N)CN=C(N)N[N+](=O)[O-],C7H19N7O2,272.122,18.247,0.946
22362,857336474678613276,spectral_match,Juvemon,CC(C)OC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,,311.258,18.622,0.8614719
22390,857336474766693668,denovo,,C=C[SH]=O,C2H4OS,114.961,18.656,-2.861
22639,857336475232261452,spectral_match,Staflex DBS,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,,315.253,18.826,0.9441347
22720,857336475412616540,structure_db_match,,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,C22H42O6,403.306,18.886,0.882
22724,857336475462948192,spectral_match,|A-Decalactone,CCCCC1CCCCC(=O)O1,,171.138,18.887,0.8990143
22726,857336475370673496,structure_db_match,,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,C22H42O6,420.332,18.885,0.85
23021,857336475915933060,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,19.108,-0.816
23487,857336476209534364,spectral_match,Spectrum3_000777,CCCCCCCCCCCCCC(CC(COC(=O)C)O)O,,313.274,19.433,0.849215
23634,857336476394083756,spectral_match,Spectrum3_000777,CCCCCCCCCCCCCC(CC(COC(=O)C)O)O,,313.274,19.536,0.8694269
23938,857336476603798972,spectral_match,Spectrum3_000777,CCCCCCCCCCCCCC(CC(COC(=O)C)O)O,,313.274,19.806,0.8441312
23963,857336476847068620,denovo,Nervonamide,CCCCCCCCC=CCCCCCCCCCCCCCC(=O)N,C24H47NO,366.373,19.855,-0.975
24222,857336477249721836,denovo,Tetradecylurea,CCCCCCCCCCCCCCNC(=O)N,C15H32N2O,257.259,20.134,-0.099
24318,857336477300053488,denovo,,C=C[SH]=O,C2H4OS,114.961,20.21,-2.446
