formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C6H15NO3	[M + H]+	C6H16NO3+		1.000	87.140	87.140	0.000	12	0.680	1.054	1.369	0.601		150.113	54	0.894	857316987703922824	857316064239315627	857316064235121322	698	
1	C6H8O5S3	[M + H]+	C6H9O5S3+		0.321	45.113	40.425	4.689	20	0.667	-3.454	4.072	5.710		256.962	54	0.897	857317028522889471	857316064381921967	857316064377727662	1491	
1	C6H15NO3	[M + Na]+	C6H15NNaO3+		1.000	11.932	11.932	0.000	3	0.151	1.988	1.988	0.209		172.094	54	0.898	857317018783715581	857316064470002355	857316064465808050	682	
1	C5H13NO2	[M + H]+	C5H14NO2+		1.000	25.724	25.724	0.000	3	0.984	6.447	6.447	0.624		120.102	54	0.903	857316991034200222	857316064566471351	857316064566471350	715	
1	C6H15NO4	[M + H]+	C6H16NO4+		1.000	35.746	35.746	0.000	7	0.983	1.261	1.261	0.335		166.107	54	0.907	857316998139351236	857316064650357435	857316064650357434	750	
1	C6H12N2O	[M + H]+	C6H13N2O+		1.000	88.185	88.185	0.000	22	0.767	1.546	1.546	0.392		129.102	54	0.908	857317014102872315	857316064742632127	857316064738437822	722	
1	CH6N2O4S2	[M + H]+	CH7N2O4S2+		1.000	45.127	45.127	0.000	7	0.945	4.851	4.851	4.543		174.985	55	0.909	857317059451687631	857316064839101123	857316064834906818	718	
1	C2H4N2O4S2	[M + H]+	C2H5N2O4S2+		1.000	62.600	61.167	1.433	9	0.319	6.655	6.655	4.298		184.969	55	0.912	857317058654769775	857316064927181511	857316064922987206	719	
1	C3H7N3O3S2	[M + H]+	C3H8N3O3S2+		0.333	33.853	33.853	0.000	6	0.241	8.014	8.014	4.144		198.001	55	0.916	857317062043767577	857316065027844811	857316065023650506	770	
1	C3H8O3	[M + Na]+	C3H8NaO3+		0.941	5.852	3.500	2.352	0	0.000			0.654		115.037	55	0.925	857317053902623017	857316065111730895	857316065107536590	879	
