spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	false	16		2	-1 eV	0.78173846	7	2	-1 eV (corrected -1 eV)	[M + H3N + H]+	218.211	Orbitrap (LCMS)	CCCCCCCCCCCC(=O)O	splash10-014i-1190000000-00f15623a46006ebd02f	dodecoate	public_spectra_2506:(CCMSLIB00013576260)	POULHZVOKOAJMA	218.212	427	7.113	857316084376170187	857316084376170186	8871	
1	SPECTRUM	false	9		2	-1 eV	0.52960366	8	2	50 eV	[M + H]+	161.060	Bruker Q-ToF (LCMS)	CC1=CC2=C(C=C1)OC(=O)C=C2	splash10-0pvi-2900000000-4a210ddd6989544b7fcd	Pralina	public_spectra_2506:(MSBNK-Fiocruz-FIO00184)	FXFYOPQLGGEACP	161.060	436	7.269	857316084799794923	857316084799794922	9151	
1	SPECTRUM	false	0		2	-1 eV	0.97385085	6	2	42 eV	[M + H]+	233.111	Orbitrap (LCMS)	C1CCC(CC1)NC2=NC3=CC=CC=C3S2	splash10-0udi-2900000000-47fde7422971c492118a	benzothiazolyl-cyclohexyl-amine	public_spectra_2506:(MSBNK-UFZ-WANA243825AF82PH)	UPWPIFMHSFSVLE	233.111	511	8.513	857316087022776199	857316087022776198	11016	
1	SPECTRUM	false	0		2	-1 eV	0.5532279	12	2	-1 eV (corrected -1 eV)	[M + H]+	195.102	Orbitrap (LCMS)	CCC=CC1=C(OC(=O)C=C1OC)C	splash10-00kf-9300000000-99728490f05ba418b727	5-(1-Buten-1-yl)-4-methoxy-6-methyl-2H-pyran-2-one	public_spectra_2506:(BRUNGS_NIHNP_01549)	YKTRFCJDTCAPSG	195.102	515	8.579	857316087110856591	857316087110856590	11111	
1	SPECTRUM	false	63		2	-1 eV	0.8611941	3	2	10 eV	[M + H]+	186.222	Q-ToF (LCMS)	CCCCCCCCCCCCN	splash10-000i-7900000000-b136bf248ccf26c4c6b5	Amine BB	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000585)	JRBPAEWTRLWTQC	186.222	533	8.879	857316087685476287	857316087685476286	11453	
1	SPECTRUM	false	1		2	-1 eV	0.7071955	23	2	-1 eV (corrected -1 eV)	[M + Na]+	359.219	Orbitrap (LCMS)	CC12CCCC(C1CCC34C2CCC(C3)C(C4)(CO)O)(C)C(=O)O	splash10-054o-9400000000-7ab9311c367382a8d8fc	Diterpenoid SP-II	public_spectra_2506	MRBLTWPEPGRXQN	359.225	538	8.974	857316087916163027	857316087916163026	11527	
1	SPECTRUM	false	12		2	-1 eV	0.941654	6	2	-1 eV (corrected -1 eV)	[M + H3N + H]+	246.243	Orbitrap (LCMS)	CCCCCCCCCCCCCC(=O)O	splash10-0002-1090000000-9eee21e8f6d93436b503	Crodacid	public_spectra_2506:(CCMSLIB00012471636)	TUNFSRHWOTWDNC	246.243	548	9.129	857316088121683939	857316088121683938	11696	
1	SPECTRUM	false	6		2	-1 eV	0.66294163	7	2	45 eV	[M + H]+	202.217	Orbitrap (LCMS)	CCCCCCCCCC[N+](C)(C)[O-]	splash10-0a4i-9010000000-f4cf5a40dd33cbd10380	Decylamine oxide	public_spectra_2506:(MSBNK-LCSB-LU068403)	ZRKZFNZPJKEWPC	202.217	550	9.171	857316088180404199	857316088180404198	11733	
1	SPECTRUM	false	1		2	-1 eV	0.62643033	8	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	251.164	Orbitrap (LCMS)	CC(C)C(CCCCCC1C2=C(CO1)COC2=O)O	splash10-05mo-9300000000-237934aef8c0bbb9c086	3-(6-hydroxy-7-methyloctyl)-3,6-dihydro-1H-uro[3,4-c]uran-4-one	public_spectra_2506:(BRUNGS_NIHNP_01304)	XXORJGREYJVNHF	251.164	554	9.232	857316088348176371	857316088343982066	11822	
1	SPECTRUM	false	1		2	-1 eV	0.8318633	22	2	47 eV	[M + H]+	233.154	Orbitrap (LCMS)	CC1=CCCC(=CC2C(CC1)C(=C)C(=O)O2)C	splash10-05nf-5900000000-dbfb3cb34ecc9687327e	Costunlide	public_spectra_2506:(MSBNK-NaToxAq-NA003462)	HRYLQFBHBWLLLL	233.154	554	9.233	857316088394313719	857316088394313718	11812	
