id,sirius_id,molecular_formula,precursor_mz,rt,score
23347,857336476062733712,C16H33NO,256.264,19.287,1.0
23386,857336476117259668,C32H67N,466.535,19.303,1.0
23478,857336476163397016,C26H43NO5,450.322,19.404,0.989
23487,857336476209534364,C19H36O3,313.274,19.433,1.0
23524,857336476255671712,C18H38O3,325.271,19.436,1.0
23595,857336476347946408,C18H37NO,284.295,19.514,1.0
23634,857336476394083756,C19H36O3,313.274,19.536,1.0
23656,857336476440221104,C25H42O5,423.311,19.563,1.0
23658,857336476503135668,C27H46O5,468.369,19.569,1.0
23918,857336476553467320,C20H39NO,310.31,19.796,1.0
23938,857336476603798972,C19H36O3,313.274,19.806,1.0
23947,857336476733822404,C19H36O3,330.3,19.833,0.976
23963,857336476847068620,C24H47NO,366.373,19.855,1.0
23968,857336476901594576,C25H40O3,389.305,19.861,1.0
24057,857336477056783836,C34H71N,494.566,19.933,1.0
24110,857336477157447140,C23H42O4,383.316,19.999,1.0
24170,857336477203584488,C24H38O5,407.279,20.067,0.997
24222,857336477249721836,C15H32N2O,257.259,20.134,1.0
24318,857336477300053488,C2H4OS,114.961,20.21,1.0
24320,857336477350385140,C18H39O3PS,367.243,20.21,0.866
24398,857336477442659836,C13H24O3,229.18,20.22,1.0
24356,857336477492991488,C28H47NO5,478.353,20.226,0.994
24381,857336477539128836,C21H44O4,361.331,20.227,0.956
24591,857336477639792140,C21H26O3,327.195,20.424,0.999
24641,857336477690123792,C36H75N,522.597,20.476,1.0
24899,857336477966947876,C18H36N2S4,409.183,20.854,0.95
24916,857336478013085224,C19H39NO,298.311,20.886,1.0
24930,857336478067611180,C8H4O3,149.023,20.89,0.997
24926,857336478159885876,C22H34O4,363.253,20.899,1.0
24982,857336478222800440,C38H79N,550.629,20.976,1.0
25178,857336478268937788,C18H37NO,284.295,21.192,1.0
25316,857336478373795396,C20H42O3,331.321,21.367,0.984
25414,857336478419932744,C24H38O4,391.284,21.484,1.0
25457,857336478474458700,C22H43NO,338.342,21.532,1.0
25520,857336478520596048,C23H36O4,377.269,21.582,1.0
25611,857336479032301168,C22H42O4,371.316,21.65,1.0
25626,857336479078438516,C24H38O4,391.284,21.663,1.0
25829,857336479124575864,C24H49NO4,416.373,21.825,1.0
25825,857336479166518908,C22H42O4,371.316,21.826,1.0
25826,857336479208461952,C22H42O4,388.342,21.828,1.0
26099,857336479669835428,C26H42O4,419.315,22.214,0.829
26117,857336479711778472,C24H38O4,391.284,22.239,1.0
26114,857336479766304428,C8H4O3,149.023,22.252,0.997
26215,857336479854384820,C6H7N3O2S,223.988,22.379,0.911
26479,857336480269620948,C26H42O4,419.316,22.755,0.996
26472,857336480324146904,C28H49NO4,464.373,22.77,0.987
26564,857336480441587424,C28H49NO4,464.373,22.868,0.985
26568,857336480500307684,C26H42O4,419.316,22.874,0.995
26594,857336480554833640,C25H40O4,405.3,22.904,0.997
26740,857336480663885552,C24H47NO,366.373,23.108,1.0
26918,857336480756160248,C27H44O4,433.331,23.27,1.0
27114,857336480806491900,C6H18O3Si3,223.064,23.549,0.995
27259,857336481200756508,C2H4O2,98.984,23.698,1.0
27268,857336481288836900,C31H46O,435.36,23.7,0.999
27438,857336481330779944,C28H46O4,447.347,23.954,0.988
27614,857336481376917292,C26H50O4,444.405,24.274,1.0
27624,857336481464997684,C26H50O4,427.378,24.281,1.0
27672,857336481511135032,C26H48O4,425.362,24.384,1.0
27736,857336481599215424,C28H46O4,447.347,24.527,0.999
27757,857336481649547076,C26H48O4,425.362,24.552,1.0
27957,857336481737627468,C30H58O5S,531.408,24.935,1.0
28910,857336481783764816,C16H48O8Si8,593.158,26.719,1.0
29589,857336482027034468,C12H36O6Si6,445.12,27.908,0.939
30201,857336482068977512,C42H82O4S,683.601,28.94,1.0
30462,857336482232555384,C42H82O4S,683.601,29.406,1.0
30552,857336482232555388,C42H82O4S,683.601,29.592,1.0
