id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score,cluster_label,cluster_membership_probability,cluster_outlier_score
11199,857336454680170388,spectral_match,Oprea1_447813,C1CCC(CC1)NC(=O)NC2CCCCC2,,225.196,10.401,0.91294837,5,0.669096134941716,0.3309038650582839
11375,857336455032491952,spectral_match,Oprea1_447813,C1CCC(CC1)NC(=O)NC2CCCCC2,,225.196,10.542,0.9318055,5,0.669096134941716,0.3309038650582839
11388,857336455095406516,structure_db_match,1-cyclohexyl-3-phenylurea,C1CCC(CC1)NC(=O)NC2=CC=CC=C2,C13H18N2O,219.149,10.549,0.985,5,0.669096134941716,0.3309038650582839
11690,857336455535808464,spectral_match,Oprea1_447813,C1CCC(CC1)NC(=O)NC2CCCCC2,,225.196,10.758,0.958783,5,0.669096134941716,0.3309038650582839
14310,857336462523519384,structure_db_match,N-cyclohexylcyclohexanecarboxamide,C1CCC(CC1)C(=O)NC2CCCCC2,C13H23NO,210.185,12.583,0.962,5,0.669096134941716,0.3309038650582839
14675,857336463039418812,structure_db_match,N-cyclohexylcyclohexanecarboxamide,C1CCC(CC1)C(=O)NC2CCCCC2,C13H23NO,210.185,12.854,0.955,5,0.669096134941716,0.3309038650582839
862,857336428541266576,spectral_match,Rivanicline,CNCCC=CC1=CN=CC=C1,,163.123,0.942,0.92628616,5,0.6129754480954893,0.3870245519045106
843,857336428344134280,spectral_match,Vulkazit,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,,212.118,0.937,0.94211984,5,0.6053476884319274,0.39465231156807257
4364,857336438766980104,spectral_match,Vulkazit,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,,212.118,5.375,0.96988666,5,0.6053476884319274,0.39465231156807257
14431,857336462695485860,denovo,Oprea1_074824,C1=CC=C(C=C1)NC2=CC=C(C=C2)[N+](=O)[O-],C12H10N2O2,215.082,12.697,-0.68,5,0.43173892232584826,0.5682610776741517
925,857336430026050252,denovo,6-Aminohexyloxidanium,C(CCCO)CCN,C6H15NO,100.112,0.973,-0.179,6,1.0,0.0
9231,857336450917879452,denovo,1-Butyl-3-(2-methylpropyl)urea,CCCCNC(=O)NCC(C)C,C9H20N2O,173.165,8.925,-0.506,6,1.0,0.0
11951,857336455917490152,spectral_match,Armeen 14,CCCCCCCCCCCCCCN,,214.253,10.968,0.89844793,6,1.0,0.0
12250,857336456559218708,structure_db_match,Hexadecylamine,CCCCCCCCCCCCCCCCN,C16H35N,242.284,11.163,0.829,6,1.0,0.0
12429,857336457200947260,spectral_match,Armeen 14,CCCCCCCCCCCCCCN,,214.253,11.287,0.9500762,6,1.0,0.0
14592,857336462989087160,structure_db_match,Hexadecylamine,CCCCCCCCCCCCCCCCN,C16H35N,242.284,12.785,0.884,6,1.0,0.0
16061,857336465258205796,denovo,Heptadecylazanium,CCCCCCCCCCCCCCCCCN,C17H37N,256.3,13.96,-0.924,6,1.0,0.0
16282,857336465639887488,spectral_match,Amine AB,CCCCCCCCCCCCCCCCCCN,,270.316,14.143,0.9787819,6,1.0,0.0
18013,857336469960020920,structure_db_match,1-Eicosanamine,CCCCCCCCCCCCCCCCCCCCN,C20H43N,298.347,15.412,0.875,6,1.0,0.0
24222,857336477249721836,denovo,Tetradecylurea,CCCCCCCCCCCCCCNC(=O)N,C15H32N2O,257.259,20.134,-0.099,6,1.0,0.0
11747,857336455611305940,denovo,Tridecylamine,CCCCCCCCCCCCCN,C13H29N,200.237,10.815,-0.948,6,0.9613145549071549,0.0386854450928451
12136,857336456194314236,denovo,Tridecylamine,CCCCCCCCCCCCCN,C13H29N,200.237,11.099,-0.974,6,0.9613145549071549,0.0386854450928451
17360,857336468429099848,structure_db_match,"3-amino-N-octadecyl-1,2,4-triazole-1-carboxamide",CCCCCCCCCCCCCCCCCCNC(=O)N1C=NC(=N1)N,C21H41N5O,380.337,14.929,0.838,6,0.9413476753248731,0.0586523246751269
17657,857336469393789840,denovo,"Glycine, N-tridecyl-",CCCCCCCCCCCCCNCC(=O)O,C15H31NO2,258.243,15.131,-0.116,6,0.763460297014003,0.23653970298599702
21838,857336474263377144,structure_db_match,N-{(4S)-4-amino-5-[(aminomethyl)amino]pentyl}-N''-nitroguanidine,C(CC(CNCN)N)CN=C(N)N[N+](=O)[O-],C7H19N7O2,272.122,18.247,0.946,6,0.7068071664166374,0.29319283358336257
16558,857336466717823692,structure_db_match,Myristamide,CCCCCCCCCCCCCC(=O)N,C14H29NO,228.232,14.354,0.839,6,0.6850906785662788,0.31490932143372125
10198,857336453136666396,denovo,N-Hexylmaleamidic acid,CCCCCCNC(=O)C=CC(=O)O,C10H17NO3,200.128,9.617,-1.053,6,0.6553680072224253,0.3446319927775747
12752,857336457922367596,structure_db_match,Corfree M 2,C(CCCCCC(=O)O)CCCCC(=O)O,C12H22O4,231.159,11.476,0.876,6,0.626800702707756,0.373199297292244
6433,857336443531709668,structure_db_match,"3,6,9,12-Tetraoxapentacosan-1-ol",CCCCCCCCCCCCCOCCOCCOCCOCCO,C21H44O5,415.278,6.913,0.873,7,1.0,0.0
6779,857336444693531936,denovo,"3,6,9,12,15-Pentaoxaoctacosan-1-ol",CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,C23H48O6,459.304,7.153,-0.177,7,1.0,0.0
7126,857336446123789672,denovo,Tridecylhexaethoxylate,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,C25H52O7,503.33,7.381,-0.386,7,1.0,0.0
16421,857336466180952740,denovo,"2-[2-[2-(1,1-Dideuteriodecoxy)ethoxy]ethoxy]ethanol",CCCCCCCCCCOCCOCCOCCO,C16H34O4,308.28,14.287,-0.161,7,1.0,0.0
16530,857336466608771780,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,335.279,14.342,-0.206,7,1.0,0.0
16614,857336466973676256,denovo,"3,6,9,12,15,18-Hexaoxaoctacosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,C22H46O7,423.332,14.38,-0.135,7,1.0,0.0
17069,857336467909006112,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,335.279,14.723,-0.206,7,1.0,0.0
17354,857336468479431500,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,335.279,14.929,-0.206,7,1.0,0.0
17356,857336468374573892,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,352.306,14.928,-0.17,7,1.0,0.0
17583,857336469230211972,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,335.279,15.082,-0.206,7,1.0,0.0
8971,857336449479233092,structure_db_match,"N,N-Bis(2-hydroxyethyl)octanamide",CCCCCCCC(=O)N(CCO)CCO,C12H25NO3,232.191,8.674,0.975,7,0.7138893666854857,0.28611063331451425
16360,857336465933488788,denovo,"Diethylene glycol, decyl ether",CCCCCCCCCCOCCOCCO,C14H30O3,264.253,14.224,-0.632,7,0.7138893666854857,0.28611063331451425
16376,857336466059317916,denovo,2-(6-Hexoxyhexoxy)ethanol,CCCCCCOCCCCCCOCCO,C14H30O3,247.227,14.237,-2.742,7,0.7138893666854857,0.28611063331451425
16936,857336467644764940,denovo,"Diethylene glycol, decyl ether",CCCCCCCCCCOCCOCCO,C14H30O3,247.227,14.638,-0.219,7,0.7138893666854857,0.28611063331451425
17468,857336468689146716,denovo,"Diethylene glycol, decyl ether",CCCCCCCCCCOCCOCCO,C14H30O3,247.227,15.011,-0.211,7,0.7138893666854857,0.28611063331451425
19072,857336471092483072,denovo,2-(2-(Undecyloxy)ethoxy)ethanol,CCCCCCCCCCCOCCOCCO,C15H32O3,261.243,16.182,-0.18,7,0.7138893666854857,0.28611063331451425
19322,857336471532885024,denovo,Laureth-7 carboxylic acid,CCCCCCCCCCCCOCCOCC(=O)O,C16H32O4,289.237,16.321,-1.298,7,0.6137390551731209,0.38626094482687917
19366,857336471813903412,spectral_match,Spectrum3_000777,CCCCCCCCCCCCCC(CC(COC(=O)C)O)O,,313.274,16.353,0.84096783,7,0.6137390551731209,0.38626094482687917
22639,857336475232261452,spectral_match,Staflex DBS,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,,315.253,18.826,0.9441347,7,0.6137390551731209,0.38626094482687917
23487,857336476209534364,spectral_match,Spectrum3_000777,CCCCCCCCCCCCCC(CC(COC(=O)C)O)O,,313.274,19.433,0.849215,7,0.6137390551731209,0.38626094482687917
23634,857336476394083756,spectral_match,Spectrum3_000777,CCCCCCCCCCCCCC(CC(COC(=O)C)O)O,,313.274,19.536,0.8694269,7,0.6137390551731209,0.38626094482687917
23938,857336476603798972,spectral_match,Spectrum3_000777,CCCCCCCCCCCCCC(CC(COC(=O)C)O)O,,313.274,19.806,0.8441312,7,0.6137390551731209,0.38626094482687917
