id,sirius_id,molecular_formula,precursor_mz,rt,score
28271,857316105557407143,C44H86N2O2,675.675,20.802,0.998
28377,857316105704207795,C30H54O8,543.39,20.871,0.97
28385,857316105741956535,C30H54O8,560.416,20.872,1.0
28380,857316105783899579,C32H61NO8,588.447,20.874,0.94
28387,857316105830036927,C19H39NO,298.31,20.883,1.0
28431,857316105922311623,C36H62O10,655.441,20.893,0.813
28688,857316106140415451,C24H47NO,366.373,21.062,1.0
28694,857316106178164191,C28H44N4O3,502.374,21.063,1.0
28929,857316106358519279,C18H37NO,284.295,21.188,1.0
28969,857316106408850931,C20H41NO,312.326,21.232,1.0
29104,857316106673092103,C29H55NO7,530.405,21.317,1.0
29274,857316106710840843,C22H47NO3Si2,430.316,21.396,0.877
29420,857316106756978191,C22H43NO,338.342,21.511,1.0
29582,857316106798921235,C22H42O4,371.316,21.632,1.0
29738,857316106962499107,C14H26O4,259.191,21.811,1.0
29791,857316107004442151,C24H49NO4,416.373,21.817,1.0
29780,857316107042190891,C22H42O4,388.342,21.817,1.0
29793,857316107109299759,C22H42O4,371.315,21.818,1.0
29816,857316107348375095,C22H45NO,340.357,21.829,1.0
30020,857316107402901051,C21H40O2,325.31,22.03,1.0
30216,857316107495175743,C22H40O,338.342,22.178,1.0
30283,857316107549701699,C24H47NO,366.373,22.231,1.0
30325,857316107633587787,C29H52O7,530.406,22.29,1.0
30715,857316107893634659,C26H42O4,419.315,22.676,1.0
30795,857316107931383399,C22H45NO,340.357,22.793,1.0
30836,857316107985909355,C26H42O4,419.315,22.853,0.995
30868,857316108032046703,C28H49NO4,464.373,22.911,0.999
30934,857316108111738487,C26H42O4,419.315,22.963,0.995
31082,857316108157875835,C24H47NO,366.373,23.1,1.0
31261,857316108195624575,C26H42O4,419.316,23.292,1.0
31268,857316108233373315,C27H44O4,433.331,23.313,1.0
31452,857316108275316359,C25H48O4,413.363,23.519,1.0
31578,857316108359202447,C31H46O,435.36,23.681,0.999
31580,857316108401145491,C2H4O2,98.984,23.681,1.0
31730,857316108438894231,C28H46O4,447.347,23.899,0.993
32010,857316108560529059,C26H50O4,444.405,24.255,1.0
32121,857316108602472103,C26H48O4,425.363,24.379,1.0
32226,857316108686358191,C28H46O4,447.347,24.5,0.998
32229,857316108766049975,C26H48O4,425.363,24.512,0.997
32314,857316108812187323,C26H48O4,425.363,24.658,1.0
32437,857316108849936063,C29H54O6,516.426,24.797,0.949
32461,857316108887684803,C19H34O4,327.253,24.798,0.998
32460,857316108925433543,C21H38O4,355.284,24.807,1.0
33789,857316109042874067,C7H10N4,151.098,26.093,0.999
33890,857316109089011415,C14H42O7Si7,519.139,26.199,1.0
35443,857316109336475375,C6H10N2,128.118,27.535,1.0
35968,857316109961426723,C7H12N4,153.113,27.985,1.0
36809,857316110095644463,C6H9N3,124.089,28.626,1.0
39158,857316110460548951,C6H9N3,124.089,30.507,0.999
